dyadic model, J=34 shells (k_max = 2^33), nu=0.0001, CFL 0.050; reliability rule delta > 4/k_max = 4.7e-10
   t        E/E0 - 1        Z = sum k^2 a^2     front shell   delta(t)     div F (Liouville check)
18.76938   -9.98e-01       1.5170e+00          7        1.458e-02     -9.838e+15
18.81058   -9.98e-01       1.5071e+00          7        1.461e-02     -9.838e+15
18.85191   -9.98e-01       1.4973e+00          7        1.463e-02     -9.838e+15
18.91416   -9.98e-01       1.4828e+00          7        1.467e-02     -9.838e+15
18.95585   -9.98e-01       1.4731e+00          7        1.470e-02     -9.838e+15
19.01863   -9.98e-01       1.4587e+00          7        1.473e-02     -9.838e+15
19.06067   -9.98e-01       1.4492e+00          7        1.476e-02     -9.838e+15
19.10286   -9.98e-01       1.4397e+00          7        1.479e-02     -9.838e+15
19.16640   -9.98e-01       1.4255e+00          7        1.483e-02     -9.838e+15
19.20895   -9.98e-01       1.4162e+00          7        1.485e-02     -9.838e+15
19.25164   -9.98e-01       1.4069e+00          7        1.488e-02     -9.838e+15
19.31596   -9.98e-01       1.3930e+00          7        1.492e-02     -9.838e+15
19.35903   -9.98e-01       1.3838e+00          7        1.495e-02     -9.838e+15
19.40225   -9.98e-01       1.3747e+00          7        1.497e-02     -9.838e+15
19.46736   -9.98e-01       1.3610e+00          7        1.501e-02     -9.838e+15
19.51096   -9.98e-01       1.3520e+00          7        1.504e-02     -9.838e+15
19.55471   -9.98e-01       1.3430e+00          7        1.507e-02     -9.838e+15
19.62063   -9.98e-01       1.3297e+00          7        1.511e-02     -9.838e+15
19.66477   -9.98e-01       1.3208e+00          7        1.513e-02     -9.838e+15
19.70907   -9.98e-01       1.3120e+00          7        1.516e-02     -9.838e+15
19.75353   -9.98e-01       1.3033e+00          7        1.519e-02     -9.838e+15
19.82052   -9.98e-01       1.2902e+00          7        1.523e-02     -9.838e+15
19.86538   -9.98e-01       1.2816e+00          7        1.526e-02     -9.838e+15
19.91040   -9.98e-01       1.2730e+00          7        1.529e-02     -9.838e+15
19.95559   -9.98e-01       1.2644e+00          7        1.531e-02     -9.838e+15
20.00094   -9.98e-01       1.2559e+00          7        1.534e-02     -9.838e+15
20.00094   -9.98e-01       1.2559e+00          7        1.534e-02     -9.838e+15   <-- front at the truncation: stop (delta > 4/k_max)
energy drift over the run: 1.0e+00   (1.4s)  (nu > 0: physical dissipation, not drift)
reliable window: t in [0.3358, 20.0009] (6549 samples)
exponential fit  delta = 0.00221 exp(-t/-7.6921)   relative rms residual 0.3801
linear fit       delta = -0.000638 (-3.8775 - t)     relative rms residual 1.5260   -> t* = -3.8775
second half only: exponential tau = -21.0039;  linear t* = -6.3127
local decay rate -d log(delta)/dt at start / middle / end of window: 7.824 / -0.331 / -0.040  (rising = approaching a singularity)
VERDICT: delta is growing again at the end of the window: the front has stalled, no singularity
